,year,month,day,hour,DEWP,TEMP,PRES,Iws,Is,Ir
year,1.0,0.006900949670662999,-0.0005427315042137381,0.2344919826749479,0.1721352532666045,-0.06631702850285512,0.0146635756342875,-0.06288325354626667,0.038873947512589074,-0.024068783634968022
month,0.006900949670662999,1.0,0.0003268605852422743,0.03353676917118538,0.022871397686311495,-0.010496785615249487,-0.004943655243782508,-0.03744880008482342,-0.0001019232711859171,0.08278849273125473
day,-0.0005427315042137381,0.0003268605852422743,1.0,-0.021783831565867825,0.14944293860688562,-0.04183129572524711,0.05886534880463864,-0.002454727612790989,-0.008740753984881602,-0.02311644295008766
hour,0.2344919826749479,0.03353676917118538,-0.021783831565867825,1.0,0.823821233083004,-0.7777221206443851,-0.29310592087050247,-0.03492523195158442,0.12534075609256476,0.17142327190847884
DEWP,0.1721352532666045,0.022871397686311495,0.14944293860688562,0.823821233083004,1.0,-0.8269028146158894,-0.14961251918558044,-0.09478479782132343,0.04954445360987308,-0.09053400243275748
TEMP,-0.06631702850285512,-0.010496785615249487,-0.04183129572524711,-0.7777221206443851,-0.8269028146158894,1.0,0.17887149216721637,0.07053712283315307,-0.08053220892282154,-0.047282308087625444
PRES,0.0146635756342875,-0.004943655243782508,0.05886534880463864,-0.29310592087050247,-0.14961251918558044,0.17887149216721637,1.0,0.022630316912632665,-0.009156939427180892,-0.24778444916508538
Iws,-0.06288325354626667,-0.03744880008482342,-0.002454727612790989,-0.03492523195158442,-0.09478479782132343,0.07053712283315307,0.022630316912632665,1.0,-0.009763861661101155,0.01926557605148896
Is,0.038873947512589074,-0.0001019232711859171,-0.008740753984881602,0.12534075609256476,0.04954445360987308,-0.08053220892282154,-0.009156939427180892,-0.009763861661101155,1.0,-0.05136870554129047
Ir,-0.024068783634968022,0.08278849273125473,-0.02311644295008766,0.17142327190847884,-0.09053400243275748,-0.047282308087625444,-0.24778444916508538,0.01926557605148896,-0.05136870554129047,1.0
